libro,autor,editorial,anio_publicacion,num_paginas,formato,categoria,rating,popularidad_libro
El gran libro de Handbook de Mecanica,Sebastian Raschka,Alfaomega,2021,536,Digital,Mecanica,3.91,6
El gran libro de Handbook de Mecanica,Paul Clements,Santillana,2016,285,Digital,Mecanica,2.35,3
Aplicaciones modernas de Arquitectura,Guillermo Pantaleon,Santillana,2007,597,Digital,Arquitectura,3.91,7
Calidad en el desarrollo de Educación,Luis Martínez,Reverté,2011,709,Físico,Educación,3.21,10
Conocimientos de Hoteleria y turismo,Daniela Lopez,Cengage,2020,585,Físico,Hoteleria y turismo,0.09,7
Principios de Robotica,Nuria Alvarez,Oxford Press,2017,672,Físico,Robotica,1.32,10
Pilares de la ingeniería Filosofía,Sergio Gomez,Alfaomega,2015,580,Digital,Filosofía,1.95,6
El gran libro de Handbook de Economía,Alfons Gonzalez,Pearson,2004,444,Físico,Economía,3.3,9
Calidad en el desarrollo de Arquitectura,Guillermo Pantaleon,Alfaomega,2004,305,Físico,Arquitectura,1.87,10
Sistematizacion de Artes,Verónica Salazar,Springer,2001,671,Digital,Artes,4.68,1
Aplicaciones modernas de Artes,Patricia León,Santillana,2014,511,Digital,Artes,0.24,1
Conocimientos de Economía,Nicolas Sau,Panamericana,2003,462,Físico,Economía,0.32,5
Procesos de la ingeniería Robotica,Ricardo Gualán,Cambridge Press,2012,121,Físico,Robotica,1.55,3
El gran libro de Handbook de Informática,Carlos Javier,Santillana,2015,493,Digital,Informática,2.31,4
Principios de Filosofía,Nicolas Sau,Panamericana,2005,254,Físico,Filosofía,2.76,2
Calidad en el desarrollo de Derecho,Sebastian Raschka,Alfaomega,2007,520,Físico,Derecho,3.15,10
Conocimientos de Informática,Alfons Gonzalez,Cambridge Press,2015,272,Físico,Informática,0.04,6
Conocimientos de Industrial,Esteban Aguilar,Panamericana,2010,648,Físico,Industrial,0.02,1
Fundamentos de Civil,Fernando Ortega,Reverté,2002,641,Físico,Civil,0.31,3
Principios de Filosofía,Carlos Javier,Cambridge Press,2000,125,Digital,Filosofía,3.07,7
Pilares de la ingeniería Industrial,Agustin Reboredo,Cengage,2020,568,Digital,Industrial,1.33,5
Pilares de la ingeniería Artes,Esteban Aguilar,Santillana,2007,267,Digital,Artes,2.58,6
Pilares de la ingeniería Robotica,Ricardo Gualán,Santillana,2001,324,Físico,Robotica,2.32,6
Calidad en el desarrollo de Robotica,Ricardo Gualán,Marcombo,2011,615,Digital,Robotica,1.9,4
El gran libro de Handbook de Biodiversidad y recursos geneticos,Ricardo Gualán,Oxford Press,2017,501,Físico,Biodiversidad y recursos geneticos,4.54,9
Pilares de la ingeniería Economía,Julia Herrera,Marcombo,2014,264,Digital,Economía,2.84,6
Conocimientos de Biodiversidad y recursos geneticos,Sergio Gomez,Pearson,2013,236,Físico,Biodiversidad y recursos geneticos,4.11,2
Pilares de la ingeniería Educación,Carlos Pérez,Panamericana,2007,401,Digital,Educación,0.98,6
Fundamentos de Civil,Fernando Ortega,Santillana,2007,708,Físico,Civil,1.55,7
Fundamentos de Educación,Daniela Lopez,Oxford Press,2022,195,Físico,Educación,1.77,8
Sistematizacion de Hoteleria y turismo,Patricia León,Panamericana,2000,473,Físico,Hoteleria y turismo,2.44,8
Calidad en el desarrollo de Ciencias de la salud,Jose Munoz,Panamericana,2006,652,Digital,Ciencias de la salud,2.92,2
Fundamentos de Robotica,Fernando Jimenez,Reverté,2018,187,Digital,Robotica,0.22,4
Sistematizacion de Civil,Carlos Javier,Springer,2011,667,Digital,Civil,1.54,1
El gran libro de Handbook de Ciencias de la salud,Fernando Ortega,Pearson,2019,769,Físico,Ciencias de la salud,1.54,9
El gran libro de Handbook de Artes,Guillermo Pantaleon,Marcombo,2002,491,Digital,Artes,1.76,1
Fundamentos de Educación,Nuria Alvarez,Panamericana,2017,184,Físico,Educación,4.34,9
Calidad en el desarrollo de Arquitectura,Carlos Javier,Springer,2003,422,Físico,Arquitectura,0.62,3
Principios de Economía,Paul Clements,Alfaomega,2014,289,Digital,Economía,1.3,9
Fundamentos de Artes,Jose Rafael,Panamericana,2022,452,Físico,Artes,4.02,8
Sistematizacion de Ambiental,María Torres,Santillana,2017,168,Físico,Ambiental,1.2,5
Principios de Civil,Alfons Gonzalez,Pearson,2022,758,Físico,Civil,4.53,3
Procesos de la ingeniería Robotica,Verónica Salazar,Panamericana,2008,218,Digital,Robotica,1.39,6
Principios de Robotica,Carlos Pérez,Santillana,2016,667,Físico,Robotica,4.2,8
Conocimientos de Filosofía,Daniel Martinez,Springer,2012,522,Digital,Filosofía,1.01,2
Procesos de la ingeniería Industrial,Andrea Gómez,McGraw-Hill,2010,672,Digital,Industrial,2.02,5
El gran libro de Handbook de Informática,Jose Rafael,Panamericana,2005,778,Físico,Informática,2.4,5
Conocimientos de Mecanica,Guillermo Pantaleon,Cambridge Press,2018,773,Físico,Mecanica,4.15,4
Sistematizacion de Mecanica,Agustin Reboredo,Reverté,2011,188,Físico,Mecanica,1.21,2
Fundamentos de Hoteleria y turismo,Jose Munoz,Pearson,2002,758,Físico,Hoteleria y turismo,0.78,5
Conocimientos de Ciencias de la salud,Kenneth E. Kendall,Springer,2005,550,Digital,Ciencias de la salud,3.98,4
Fundamentos de Robotica,Sergio Gomez,McGraw-Hill,2021,719,Físico,Robotica,3.58,3
Principios de Hoteleria y turismo,Fernando Ortega,Oxford Press,2009,673,Físico,Hoteleria y turismo,1.28,2
Pilares de la ingeniería Biodiversidad y recursos geneticos,Ricardo Gualán,Alfaomega,2007,310,Físico,Biodiversidad y recursos geneticos,1.2,5
El gran libro de Handbook de Mecanica,Jose Rafael,Pearson,2020,210,Físico,Mecanica,4.84,6
Principios de Economía,Alfons Gonzalez,Marcombo,2022,432,Físico,Economía,1.0,6
Calidad en el desarrollo de Mecanica,Nuria Alvarez,Cengage,2017,304,Digital,Mecanica,0.06,2
Aplicaciones modernas de Biodiversidad y recursos geneticos,Guillermo Pantaleon,Alfaomega,2007,193,Digital,Biodiversidad y recursos geneticos,3.72,8
Principios de Arquitectura,Fernando Ortega,McGraw-Hill,2018,427,Físico,Arquitectura,1.8,7
Principios de Biodiversidad y recursos geneticos,Guillermo Pantaleon,Alfaomega,2018,257,Físico,Biodiversidad y recursos geneticos,4.6,9
Calidad en el desarrollo de Artes,Andrea Gómez,Santillana,2007,338,Digital,Artes,0.38,3
El gran libro de Handbook de Biodiversidad y recursos geneticos,Luis Martínez,Cambridge Press,2005,491,Físico,Biodiversidad y recursos geneticos,4.2,4
Procesos de la ingeniería Industrial,Esteban Aguilar,Marcombo,2005,445,Físico,Industrial,1.4,3
Sistematizacion de Educación,Jose Munoz,Panamericana,2005,759,Físico,Educación,3.33,8
El gran libro de Handbook de Industrial,Jose Rafael,Panamericana,2010,536,Físico,Industrial,1.89,8
Conocimientos de Hoteleria y turismo,Sergio Gomez,Marcombo,2006,449,Digital,Hoteleria y turismo,1.22,1
Principios de Ambiental,Paul Clements,Santillana,2013,769,Físico,Ambiental,2.37,4
Principios de Arquitectura,Luis Martínez,Springer,2006,545,Físico,Arquitectura,2.15,10
Sistematizacion de Robotica,Agustin Reboredo,Marcombo,2014,557,Físico,Robotica,0.83,2
Pilares de la ingeniería Derecho,María Torres,Cambridge Press,2010,645,Físico,Derecho,4.57,3
Principios de Derecho,Nuria Alvarez,Pearson,2011,720,Físico,Derecho,4.27,6
Aplicaciones modernas de Hoteleria y turismo,Andrea Gómez,Cengage,2002,563,Físico,Hoteleria y turismo,3.15,8
Calidad en el desarrollo de Informática,Julio Martin,Oxford Press,2010,581,Digital,Informática,3.35,5
Aplicaciones modernas de Filosofía,Fernando Jimenez,Reverté,2018,457,Físico,Filosofía,0.36,3
Pilares de la ingeniería Filosofía,Jose Munoz,Oxford Press,2020,568,Físico,Filosofía,1.45,4
Conocimientos de Biodiversidad y recursos geneticos,Nicolas Sau,Cambridge Press,2005,457,Digital,Biodiversidad y recursos geneticos,3.82,6
El gran libro de Handbook de Arquitectura,Nuria Alvarez,Springer,2014,426,Físico,Arquitectura,1.93,3
Calidad en el desarrollo de Filosofía,Fernando Jimenez,McGraw-Hill,2008,709,Físico,Filosofía,4.74,2
Principios de Arquitectura,Luis Martínez,Oxford Press,2013,460,Físico,Arquitectura,4.6,9
Procesos de la ingeniería Ambiental,Carlos Javier,Pearson,2002,172,Físico,Ambiental,2.25,5
Procesos de la ingeniería Arquitectura,Daniela Lopez,McGraw-Hill,2001,504,Físico,Arquitectura,1.11,4
Aplicaciones modernas de Ambiental,Daniel Martinez,Reverté,2021,527,Digital,Ambiental,1.62,8
Conocimientos de Economía,Carlos Pérez,Oxford Press,2017,566,Digital,Economía,0.46,8
Procesos de la ingeniería Robotica,Luis Martínez,Marcombo,2012,538,Físico,Robotica,2.31,2
Aplicaciones modernas de Arquitectura,Guillermo Pantaleon,McGraw-Hill,2000,549,Físico,Arquitectura,0.0,10
Pilares de la ingeniería Robotica,Nuria Alvarez,Reverté,2005,479,Físico,Robotica,1.57,5
El gran libro de Handbook de Informática,Julio Martin,Santillana,2011,187,Digital,Informática,1.75,5
Fundamentos de Mecanica,Sergio Gomez,Oxford Press,2013,739,Digital,Mecanica,3.74,7
Sistematizacion de Civil,María Torres,Marcombo,2006,419,Digital,Civil,2.78,7
Principios de Industrial,Daniela Lopez,Alfaomega,2003,696,Físico,Industrial,2.19,1
El gran libro de Handbook de Educación,Ricardo Gualán,Alfaomega,2021,292,Físico,Educación,4.0,4
Principios de Derecho,Jose Munoz,Alfaomega,2015,678,Digital,Derecho,0.22,3
Conocimientos de Biodiversidad y recursos geneticos,Sebastian Raschka,Panamericana,2016,582,Físico,Biodiversidad y recursos geneticos,2.5,6
El gran libro de Handbook de Robotica,Fernando Ortega,Marcombo,2002,489,Físico,Robotica,2.91,2
Aplicaciones modernas de Civil,Esteban Aguilar,Santillana,2005,141,Digital,Civil,2.12,1
Conocimientos de Mecanica,Daniela Lopez,Santillana,2019,318,Físico,Mecanica,2.43,1
Calidad en el desarrollo de Robotica,Jose Munoz,Springer,2018,728,Digital,Robotica,3.4,3
Fundamentos de Artes,Kenneth E. Kendall,Reverté,2008,504,Físico,Artes,4.58,1
Aplicaciones modernas de Ambiental,Daniel Martinez,Alfaomega,2000,431,Físico,Ambiental,3.18,2
Fundamentos de Mecanica,Esteban Aguilar,Cambridge Press,2012,645,Digital,Mecanica,0.57,7
Procesos de la ingeniería Biodiversidad y recursos geneticos,Daniela Lopez,Panamericana,2010,302,Físico,Biodiversidad y recursos geneticos,2.05,1
Procesos de la ingeniería Derecho,María Torres,Panamericana,2001,515,Digital,Derecho,2.54,7
Procesos de la ingeniería Informática,Carlos Javier,Springer,2014,316,Físico,Informática,1.84,1
El gran libro de Handbook de Civil,Nicolas Sau,Pearson,2000,200,Físico,Civil,4.27,10
Calidad en el desarrollo de Robotica,Patricia León,McGraw-Hill,2001,615,Digital,Robotica,3.6,3
Sistematizacion de Biodiversidad y recursos geneticos,Verónica Salazar,Pearson,2022,429,Digital,Biodiversidad y recursos geneticos,3.51,2
Aplicaciones modernas de Arquitectura,Paul Clements,Pearson,2001,542,Digital,Arquitectura,2.17,10
Pilares de la ingeniería Derecho,Fernando Jimenez,Springer,2010,451,Físico,Derecho,4.67,3
El gran libro de Handbook de Informática,Patricia León,Reverté,2012,560,Físico,Informática,4.05,10
El gran libro de Handbook de Derecho,Luis Martínez,Oxford Press,2014,350,Digital,Derecho,0.34,9
Aplicaciones modernas de Derecho,Nicolas Sau,Oxford Press,2021,711,Físico,Derecho,1.22,3
Calidad en el desarrollo de Arquitectura,María Torres,Panamericana,2006,324,Digital,Arquitectura,3.18,3
Aplicaciones modernas de Industrial,Andrea Gómez,Reverté,2017,648,Digital,Industrial,3.4,6
Pilares de la ingeniería Educación,Verónica Salazar,Reverté,2005,740,Físico,Educación,3.01,5
Sistematizacion de Derecho,Fernando Ortega,Pearson,2007,397,Digital,Derecho,1.22,2
Conocimientos de Hoteleria y turismo,Sergio Gomez,Cengage,2011,731,Físico,Hoteleria y turismo,3.31,1
Conocimientos de Educación,Julia Herrera,Marcombo,2007,137,Físico,Educación,1.19,6
El gran libro de Handbook de Ambiental,Daniela Lopez,Alfaomega,2001,333,Físico,Ambiental,4.4,3
Conocimientos de Filosofía,Ricardo Gualán,Cengage,2002,613,Digital,Filosofía,1.67,1
Conocimientos de Arquitectura,Daniel Martinez,Marcombo,2000,134,Digital,Arquitectura,2.07,5
Pilares de la ingeniería Derecho,Jose Rafael,Oxford Press,2018,631,Digital,Derecho,1.96,8
Sistematizacion de Artes,Andrea Gómez,Reverté,2008,375,Digital,Artes,1.23,2
Principios de Industrial,María Torres,Springer,2001,723,Digital,Industrial,2.74,8
Principios de Mecanica,Andrea Gómez,Cambridge Press,2004,753,Físico,Mecanica,2.5,3
Principios de Hoteleria y turismo,Sebastian Raschka,Cambridge Press,2022,434,Digital,Hoteleria y turismo,0.41,1
Fundamentos de Industrial,Andrea Gómez,Pearson,2013,730,Físico,Industrial,2.54,1
Fundamentos de Hoteleria y turismo,Paul Clements,Oxford Press,2021,427,Digital,Hoteleria y turismo,1.45,5
El gran libro de Handbook de Informática,Fernando Ortega,Alfaomega,2021,502,Digital,Informática,0.46,10
Aplicaciones modernas de Economía,Alfons Gonzalez,McGraw-Hill,2016,263,Físico,Economía,0.59,6
Procesos de la ingeniería Artes,Daniel Martinez,Alfaomega,2004,123,Digital,Artes,3.41,5
Sistematizacion de Civil,Alfons Gonzalez,Alfaomega,2018,290,Digital,Civil,4.04,8
Calidad en el desarrollo de Robotica,Julio Martin,McGraw-Hill,2021,770,Físico,Robotica,2.77,6
Procesos de la ingeniería Civil,Sergio Gomez,Oxford Press,2003,778,Digital,Civil,2.42,3
Aplicaciones modernas de Arquitectura,Guillermo Pantaleon,Cambridge Press,2002,645,Digital,Arquitectura,2.75,3
Pilares de la ingeniería Economía,Carlos Javier,McGraw-Hill,2022,561,Digital,Economía,3.17,6
Principios de Biodiversidad y recursos geneticos,Daniela Lopez,Santillana,2020,554,Físico,Biodiversidad y recursos geneticos,0.16,5
Aplicaciones modernas de Industrial,Verónica Salazar,Reverté,2016,779,Físico,Industrial,0.82,6
Conocimientos de Civil,Nicolas Sau,Panamericana,2016,207,Digital,Civil,4.47,3
Aplicaciones modernas de Arquitectura,Fernando Ortega,Cengage,2002,500,Físico,Arquitectura,2.62,3
El gran libro de Handbook de Arquitectura,Jose Rafael,Marcombo,2022,642,Físico,Arquitectura,0.43,2
Pilares de la ingeniería Civil,Paul Clements,Alfaomega,2018,395,Digital,Civil,0.31,5
Fundamentos de Ambiental,Esteban Aguilar,Alfaomega,2009,596,Digital,Ambiental,3.56,8
Pilares de la ingeniería Civil,Fernando Jimenez,Panamericana,2005,568,Digital,Civil,0.66,1
Procesos de la ingeniería Arquitectura,Daniela Lopez,Reverté,2009,221,Físico,Arquitectura,1.41,3
Fundamentos de Hoteleria y turismo,Julio Martin,Pearson,2010,242,Físico,Hoteleria y turismo,0.01,1
Conocimientos de Biodiversidad y recursos geneticos,Kenneth E. Kendall,Marcombo,2020,643,Físico,Biodiversidad y recursos geneticos,2.25,5
Principios de Filosofía,Patricia León,Oxford Press,2012,411,Físico,Filosofía,1.85,6
Calidad en el desarrollo de Ciencias de la salud,Alfons Gonzalez,Cengage,2005,742,Digital,Ciencias de la salud,3.41,9
Principios de Economía,Paul Clements,Pearson,2015,444,Físico,Economía,2.47,1
Pilares de la ingeniería Biodiversidad y recursos geneticos,Daniela Lopez,Reverté,2010,529,Digital,Biodiversidad y recursos geneticos,2.66,8
Sistematizacion de Industrial,Kenneth E. Kendall,Santillana,2021,290,Digital,Industrial,3.91,7
Principios de Arquitectura,Sergio Gomez,Alfaomega,2022,591,Digital,Arquitectura,2.86,1
Sistematizacion de Hoteleria y turismo,Fernando Ortega,Cengage,2016,369,Físico,Hoteleria y turismo,3.35,3
Sistematizacion de Ambiental,Daniel Martinez,Marcombo,2018,372,Físico,Ambiental,1.44,4
Sistematizacion de Ciencias de la salud,Esteban Aguilar,Marcombo,2022,535,Digital,Ciencias de la salud,0.74,5
Pilares de la ingeniería Ambiental,Jose Rafael,Panamericana,2013,724,Físico,Ambiental,1.33,10
Principios de Mecanica,Jose Munoz,Springer,2019,317,Físico,Mecanica,3.32,2
Fundamentos de Industrial,Patricia León,Cambridge Press,2001,313,Digital,Industrial,3.56,1
Conocimientos de Biodiversidad y recursos geneticos,María Torres,Cambridge Press,2011,562,Físico,Biodiversidad y recursos geneticos,1.17,1
El gran libro de Handbook de Ciencias de la salud,Daniela Lopez,Marcombo,2001,456,Digital,Ciencias de la salud,3.17,8
Sistematizacion de Biodiversidad y recursos geneticos,Fernando Jimenez,Cambridge Press,2005,699,Digital,Biodiversidad y recursos geneticos,0.55,9
Fundamentos de Economía,Carlos Javier,Alfaomega,2004,474,Digital,Economía,3.19,9
Procesos de la ingeniería Arquitectura,Luis Martínez,Santillana,2020,757,Digital,Arquitectura,1.35,6
Pilares de la ingeniería Educación,Agustin Reboredo,Cambridge Press,2015,758,Físico,Educación,0.52,4
Procesos de la ingeniería Arquitectura,Nuria Alvarez,Reverté,2001,611,Digital,Arquitectura,2.26,10
El gran libro de Handbook de Artes,Daniela Lopez,Santillana,2000,186,Digital,Artes,4.03,10
Aplicaciones modernas de Ciencias de la salud,Sergio Gomez,Marcombo,2005,568,Físico,Ciencias de la salud,1.23,7
Procesos de la ingeniería Mecanica,Patricia León,Marcombo,2003,323,Digital,Mecanica,4.3,3
Conocimientos de Ciencias de la salud,Jose Munoz,Cambridge Press,2018,623,Físico,Ciencias de la salud,3.71,1
Conocimientos de Informática,Patricia León,Santillana,2021,708,Digital,Informática,1.99,4
Calidad en el desarrollo de Ciencias de la salud,Carlos Javier,Springer,2002,260,Digital,Ciencias de la salud,1.43,10
Procesos de la ingeniería Artes,Sebastian Raschka,Springer,2010,352,Físico,Artes,2.47,7
Fundamentos de Arquitectura,Paul Clements,McGraw-Hill,2017,740,Digital,Arquitectura,1.36,2
Principios de Filosofía,Julia Herrera,Oxford Press,2019,561,Físico,Filosofía,4.67,10
Aplicaciones modernas de Hoteleria y turismo,Andrea Gómez,Pearson,2001,783,Físico,Hoteleria y turismo,1.32,5
Fundamentos de Robotica,Julio Martin,Santillana,2022,711,Digital,Robotica,4.93,3
Aplicaciones modernas de Derecho,Julio Martin,Alfaomega,2012,531,Digital,Derecho,3.67,5
Pilares de la ingeniería Educación,Sebastian Raschka,Alfaomega,2014,416,Digital,Educación,0.94,6
Principios de Industrial,Jose Munoz,Cengage,2004,780,Digital,Industrial,2.36,2
Principios de Arquitectura,Jose Rafael,Reverté,2007,480,Físico,Arquitectura,4.22,10
Principios de Ciencias de la salud,Julio Martin,Marcombo,2016,791,Físico,Ciencias de la salud,4.06,1
Calidad en el desarrollo de Ciencias de la salud,Jose Rafael,McGraw-Hill,2015,194,Físico,Ciencias de la salud,0.95,4
Calidad en el desarrollo de Industrial,María Torres,Pearson,2012,614,Físico,Industrial,1.16,5
Calidad en el desarrollo de Informática,Paul Clements,Oxford Press,2022,191,Físico,Informática,2.85,9
Principios de Arquitectura,Patricia León,Springer,2010,316,Digital,Arquitectura,1.31,10
Aplicaciones modernas de Ciencias de la salud,Carlos Javier,Reverté,2003,678,Físico,Ciencias de la salud,4.53,3
Fundamentos de Robotica,Fernando Ortega,Santillana,2005,274,Digital,Robotica,3.7,7
Pilares de la ingeniería Biodiversidad y recursos geneticos,Alfons Gonzalez,Santillana,2013,458,Físico,Biodiversidad y recursos geneticos,4.31,4
Procesos de la ingeniería Derecho,Daniela Lopez,Oxford Press,2022,193,Digital,Derecho,2.31,9
Sistematizacion de Filosofía,Carlos Pérez,Cengage,2019,500,Digital,Filosofía,4.47,6
Procesos de la ingeniería Civil,Daniel Martinez,Alfaomega,2016,174,Digital,Civil,0.03,6
Principios de Educación,Julio Martin,McGraw-Hill,2001,265,Digital,Educación,1.6,5
Pilares de la ingeniería Artes,Luis Martínez,Oxford Press,2008,575,Digital,Artes,1.75,3
Procesos de la ingeniería Ambiental,Daniela Lopez,Oxford Press,2018,375,Digital,Ambiental,4.82,1
Calidad en el desarrollo de Biodiversidad y recursos geneticos,Julia Herrera,Panamericana,2016,473,Físico,Biodiversidad y recursos geneticos,3.46,3
Pilares de la ingeniería Derecho,Sergio Gomez,Santillana,2013,275,Físico,Derecho,0.22,5
Fundamentos de Mecanica,Nuria Alvarez,Cambridge Press,2019,513,Digital,Mecanica,1.29,4
Fundamentos de Robotica,Guillermo Pantaleon,Reverté,2004,243,Físico,Robotica,0.67,3
Aplicaciones modernas de Arquitectura,Jose Munoz,Springer,2009,155,Digital,Arquitectura,4.14,6
Conocimientos de Educación,Jose Rafael,Cambridge Press,2017,399,Digital,Educación,3.92,4
Conocimientos de Educación,Ricardo Gualán,Pearson,2001,293,Digital,Educación,4.89,7
Calidad en el desarrollo de Economía,Fernando Ortega,Cambridge Press,2014,383,Digital,Economía,3.18,1
Sistematizacion de Arquitectura,Nicolas Sau,Springer,2022,724,Físico,Arquitectura,4.64,4
Principios de Educación,Fernando Ortega,Cengage,2014,336,Digital,Educación,0.83,3
Fundamentos de Arquitectura,Daniel Martinez,Pearson,2005,301,Digital,Arquitectura,3.83,8
Procesos de la ingeniería Ciencias de la salud,Luis Martínez,Oxford Press,2000,613,Físico,Ciencias de la salud,1.09,7
Procesos de la ingeniería Educación,Paul Clements,Pearson,2018,524,Físico,Educación,4.7,4
Principios de Derecho,Kenneth E. Kendall,Marcombo,2009,346,Digital,Derecho,3.85,3
Sistematizacion de Filosofía,Carlos Javier,Reverté,2000,616,Digital,Filosofía,0.82,3
Principios de Artes,Sergio Gomez,Panamericana,2020,495,Físico,Artes,3.82,4
Sistematizacion de Filosofía,Verónica Salazar,Cambridge Press,2012,596,Digital,Filosofía,2.86,9
Sistematizacion de Arquitectura,Esteban Aguilar,McGraw-Hill,2001,236,Físico,Arquitectura,2.81,10
Conocimientos de Educación,Jose Rafael,McGraw-Hill,2022,702,Físico,Educación,0.14,7
Sistematizacion de Robotica,Agustin Reboredo,Reverté,2009,606,Digital,Robotica,3.13,2
Principios de Industrial,Andrea Gómez,Pearson,2007,533,Físico,Industrial,4.38,1
Sistematizacion de Hoteleria y turismo,Carlos Javier,Alfaomega,2010,683,Físico,Hoteleria y turismo,4.67,8
Sistematizacion de Hoteleria y turismo,Nuria Alvarez,Springer,2016,298,Digital,Hoteleria y turismo,3.27,7
Procesos de la ingeniería Economía,Paul Clements,Pearson,2001,732,Físico,Economía,1.25,2
Conocimientos de Educación,Fernando Jimenez,Cengage,2014,539,Físico,Educación,0.45,9
Calidad en el desarrollo de Economía,Andrea Gómez,Pearson,2005,732,Físico,Economía,0.4,3
Fundamentos de Filosofía,Kenneth E. Kendall,Panamericana,2020,590,Digital,Filosofía,3.79,7
Procesos de la ingeniería Biodiversidad y recursos geneticos,Jose Munoz,Marcombo,2013,747,Digital,Biodiversidad y recursos geneticos,0.57,6
Procesos de la ingeniería Mecanica,Jose Munoz,Marcombo,2004,702,Físico,Mecanica,3.29,10
El gran libro de Handbook de Civil,Nuria Alvarez,Marcombo,2006,603,Digital,Civil,2.63,3
Principios de Artes,Luis Martínez,Cambridge Press,2002,664,Físico,Artes,2.88,1
Sistematizacion de Biodiversidad y recursos geneticos,Verónica Salazar,Pearson,2010,741,Físico,Biodiversidad y recursos geneticos,1.71,2
Aplicaciones modernas de Biodiversidad y recursos geneticos,Luis Martínez,Alfaomega,2005,298,Digital,Biodiversidad y recursos geneticos,3.59,2
Fundamentos de Civil,Paul Clements,Reverté,2000,396,Físico,Civil,4.25,10
Pilares de la ingeniería Robotica,Julio Martin,Cambridge Press,2020,501,Digital,Robotica,2.49,3
Procesos de la ingeniería Hoteleria y turismo,Patricia León,Cengage,2009,504,Físico,Hoteleria y turismo,0.28,7
Calidad en el desarrollo de Industrial,María Torres,Panamericana,2015,477,Digital,Industrial,2.85,7
Aplicaciones modernas de Civil,Julio Martin,Cambridge Press,2010,536,Digital,Civil,0.61,1
Procesos de la ingeniería Biodiversidad y recursos geneticos,Fernando Ortega,Cengage,2021,346,Físico,Biodiversidad y recursos geneticos,3.27,2
